Week,Name,Pos,Team,Opp,Projected,Actual,Injury?
3,Travis Kelce,TE,KC,CHI,18.2,19.9,N
3,Tyreek Hill,WR,MIA,DEN,23.8,30.7,N
3,Bijan Robinson,RB,ATL,DET,18.5,10,N
3,Davante Adams,WR,LV,PIT,20.4,42.2,N
3,Derrick Henry,RB,TEN,CLE,16.8,2,N
3,Stefon Diggs,WR,BUF,WAS,16.6,19.1,N
3,Patrick Mahomes,QB,KC,CHI,24.1,25.68,N
3,Tony Pollard,RB,DAL,ARI,19.3,15.1,N
3,CeeDee Lamb,WR,DAL,ARI,16.2,10.2,N
3,Garrett Wilson,WR,NYJ,NE,14.3,9.8,N
3,Josh Jacobs,RB,LV,PIT,16.9,11,N
3,A.J. Brown,WR,PHI,TB,15.1,22.1,N
3,Josh Allen,QB,BUF,WAS,20.8,21.32,N
3,Amon-Ra St. Brown,WR,DET,ATL,15.7,19.6,N
3,Jalen Hurts,QB,PHI,TB,21.8,19.88,N
3,Joe Mixon,RB,CIN,LAR,16.9,14,N
3,DK Metcalf,WR,SEA,CAR,14.1,17.2,N
3,Tee Higgins,WR,CIN,LAR,14.6,4.1,N
3,Travis Etienne Jr.,RB,JAX,HOU,16.6,17.8,N
3,Chris Olave,WR,NO,GB,15.5,18.4,N
3,Najee Harris,RB,PIT,LV,12.7,6.5,N
3,DeVonta Smith,WR,PHI,TB,15.2,6.8,N
3,Lamar Jackson,QB,BAL,IND,20.8,28.18,N
3,Jahmyr Gibbs,RB,DET,ATL,15.9,9.2,N
3,Joe Burrow,QB,CIN,LAR,19.4,8.16,N
3,Deebo Samuel,WR,SF,NYG,18.8,25.1,N
3,Mark Andrews,TE,BAL,IND,13.7,7.5,N
3,Rhamondre Stevenson,RB,NE,NYJ,14.5,7.2,N
3,Calvin Ridley,WR,JAX,HOU,14.9,7,N
3,Keenan Allen,WR,LAC,MIN,16.2,45.46,N
3,Dameon Pierce,RB,HOU,JAX,10.7,14.9,N
3,Amari Cooper,WR,CLE,TEN,13.3,24.6,N
3,Justin Herbert,QB,LAC,MIN,20.2,29.3,N
3,T.J. Hockenson,TE,MIN,LAC,14.5,13.8,N
3,Justin Fields,QB,CHI,KC,18.7,10.66,N
3,Darren Waller,TE,NYG,SF,11.1,5,N
